"TIV of arms exports from Sweden, 2018-2019",,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,
Figures may not add up due to the conventions of rounding.,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,
,,,,
,,,,
Source: SIPRI Arms Transfers Database,,,,
Generated: 06 November 2020,,,,
,,,,
,2018,2019,Total
Argentina,5,5,10
Austria,,7,7
Brazil,,4,4
Burkina Faso,,0,0
Canada,5,,5
Chad,,0,0
Cote d'Ivoire,0,,0
Czechia,,6,6
Denmark,2,4,6
Finland,5,,5
Germany,,0,0
Ireland,,1,1
Japan,8,8,16
Kenya,0,,0
Lithuania,,3,3
Mauritania,,0,0
Mexico,3,3,5
Niger,,0,0
Norway,14,,14
Pakistan,16,34,50
Poland,3,3,6
Senegal,1,,1
South Korea,3,,3
Switzerland,10,10,20
Thailand,25,,25
UAE,3,,3
United Kingdom,15,,15
United States,43,103,145
Unknown recipient(s),,15,15
,,,,
Total,159,206,365
